number,difficulty,name,link,geeksforgeeks,description,tags,algorithms
3,medium,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,,Use hash map and two indices. You move one index inserting elemnts into the hashmap. When you find a repeat in the hashmap you record the current size of the substring and increment the second pointer until you pass the repeated char,(sliding window),
5,medium,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,,"Solution 1: create a function that checks the existence of a palindrome expanding from the middle index. Then you just iterate over the characters in the string checking the plaindrom centered on a string or on two strings. 

Solution 2: (dp) you build up a 2d array you start with single length palindrome strings then you check all substrings of length two and determine the longest palindrome between them. Then you do three and above by looking at the ends of the palindrome - if the ends are not the same then the largest possible is the maximum of the largest possible between the start and end. When they are equal you check to see if left++ and right-- substring is palindrome and if it is then you have a new largest.

Solution 3:",(dp),Manacher's Algorithm
7,easy ,Reversed Integer,https://leetcode.com/problems/reverse-integer/,,,,
9,easy ,Palindrome Number,https://leetcode.com/problems/palindrome-number/,,if negative return false. Reverse the int with modulus division and compare to original. Or convert to string and use string operations.,,
26,easy ,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,,two pointers. Linerarlly iterate over with one pointer as place to insert and the other as looking over the array. Whenever the right pointer and left pointer are not the same you insert the right to ++left. Note that this will insert an element onto itself sometimes when the numbers are not duplicate.,(two pointers),
31,medium,Next Permutation,https://leetcode.com/problems/next-permutation/,,"You identify the last number in the array that is not decreasing. (if you did not find one, as in all decreasing then reverse the array). Once found, find the smallest number that is greater than the current number that you found from the last step, use <= to compare if their are duplicates. Then you swap the current number and the number found. Then the sub sequence after the current numbers index will be in decreasing order which is the maximum, thus you revers its order by swaping and then you are done.",,
33,medium,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,https://www.geeksforgeeks.org/search-an-element-in-a-sorted-and-pivoted-array/,"find pivot via binary search. Then do din search on both halves of the array.

Can also do binary search but within condition of mid > left you do another check to see if target is in the range of mid and left. If it is then normal bin search if it is not then is on the other side of mid so left = mid+1. simliar for mid < left.",(binary search),
35,easy,Search Insert Position,https://leetcode.com/problems/search-insert-position/,,"Binary search. At the end, if not found, either return left index+1 if target greater or left index otherwise.",,
36,medium,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,,"Can use hash set, array or length 9, bitmasking - using bits in an int",,
39,medium,Combination Sum,https://leetcode.com/problems/combination-sum/,,"Sort and remove duplicates. Then recurse. General idea is to start from the end and try to get the sum to target or to 0. if the current number you are looking at makes sum >= 0 you recurse. Base case is sum == 0, then just add to result array and return.",,
